satisfaction,nps,category,delivery,feedback
5,9,Electronics,Yes,Delivery was smooth and the item was exactly what I wanted.
5,9,Electronics,Yes,The order arrived on time and the product quality matched my expectations.
4,10,Clothing,Yes,Delivery was smooth and the item was exactly what I wanted.
4,8,Other,Yes,Everything worked out well and the package came when promised.
4,10,Electronics,Yes,Delivery was smooth and the item was exactly what I wanted.
4,8,Other,Yes,Everything worked out well and the package came when promised.
5,10,Electronics,Yes,The order arrived on time and the product quality matched my expectations.
4,10,Home,Yes,Everything worked out well and the package came when promised.
3,6,Electronics,No,"The product was acceptable, though delivery delays hurt the overall experience."
3,5,Other,No,"I got what I ordered, but the shipping took longer than it should have."
5,9,Home,Yes,Everything worked out well and the package came when promised.
4,10,Home,Yes,The order arrived on time and the product quality matched my expectations.
5,10,Other,Yes,Everything worked out well and the package came when promised.
4,9,Home,Yes,Delivery was smooth and the item was exactly what I wanted.
4,8,Electronics,No,"The item was good, but the delivery arrived later than expected."
4,9,Clothing,Yes,Everything worked out well and the package came when promised.
5,10,Electronics,Yes,Delivery was smooth and the item was exactly what I wanted.
4,8,Other,Yes,The order arrived on time and the product quality matched my expectations.
4,8,Other,Yes,Delivery was smooth and the item was exactly what I wanted.
3,6,Other,No,"I got what I ordered, but the shipping took longer than it should have."
5,10,Electronics,Yes,Delivery was smooth and the item was exactly what I wanted.
5,10,Home,Yes,Everything worked out well and the package came when promised.
4,8,Other,Yes,Everything worked out well and the package came when promised.
5,9,Home,Yes,Delivery was smooth and the item was exactly what I wanted.
4,9,Home,Yes,Everything worked out well and the package came when promised.
4,9,Other,Yes,Delivery was smooth and the item was exactly what I wanted.
5,9,Electronics,Yes,Everything worked out well and the package came when promised.
5,10,Other,Yes,The order arrived on time and the product quality matched my expectations.
5,10,Home,Yes,The order arrived on time and the product quality matched my expectations.
5,10,Electronics,Yes,Delivery was smooth and the item was exactly what I wanted.
4,10,Home,Yes,Delivery was smooth and the item was exactly what I wanted.
4,8,Other,Yes,Delivery was smooth and the item was exactly what I wanted.
4,8,Home,Yes,The order arrived on time and the product quality matched my expectations.
5,9,Electronics,Yes,Everything worked out well and the package came when promised.
4,9,Other,Yes,The order arrived on time and the product quality matched my expectations.
4,8,Other,Yes,Everything worked out well and the package came when promised.
4,9,Other,Yes,Everything worked out well and the package came when promised.
4,8,Electronics,No,"Product quality held up, though shipping took too long."
4,9,Home,Yes,The order arrived on time and the product quality matched my expectations.
4,10,Other,Yes,Everything worked out well and the package came when promised.
4,10,Clothing,Yes,Everything worked out well and the package came when promised.
4,9,Home,Yes,Everything worked out well and the package came when promised.
5,10,Electronics,Yes,Delivery was smooth and the item was exactly what I wanted.
4,8,Home,Yes,Delivery was smooth and the item was exactly what I wanted.
4,8,Clothing,Yes,The order arrived on time and the product quality matched my expectations.
3,5,Home,No,"The order arrived late, and that made the experience more frustrating."
5,9,Electronics,Yes,The order arrived on time and the product quality matched my expectations.
3,4,Electronics,No,"The product was acceptable, though delivery delays hurt the overall experience."
5,9,Clothing,Yes,The order arrived on time and the product quality matched my expectations.
4,8,Clothing,Yes,Everything worked out well and the package came when promised.
4,9,Electronics,Yes,Delivery was smooth and the item was exactly what I wanted.
4,10,Clothing,Yes,Delivery was smooth and the item was exactly what I wanted.
5,10,Electronics,Yes,Everything worked out well and the package came when promised.
5,10,Home,Yes,Delivery was smooth and the item was exactly what I wanted.
4,10,Home,Yes,Everything worked out well and the package came when promised.
4,8,Other,Yes,Everything worked out well and the package came when promised.
4,8,Other,Yes,Delivery was smooth and the item was exactly what I wanted.
4,8,Clothing,Yes,Everything worked out well and the package came when promised.
5,10,Electronics,Yes,Everything worked out well and the package came when promised.
3,5,Home,No,"The product was acceptable, though delivery delays hurt the overall experience."
4,7,Other,No,"Product quality held up, though shipping took too long."
4,8,Clothing,No,"Product quality held up, though shipping took too long."
5,9,Electronics,Yes,Delivery was smooth and the item was exactly what I wanted.
4,10,Home,Yes,The order arrived on time and the product quality matched my expectations.
4,10,Home,Yes,The order arrived on time and the product quality matched my expectations.
5,10,Clothing,Yes,Delivery was smooth and the item was exactly what I wanted.
3,8,Other,Yes,"Delivery was fine, but the product only met my expectations halfway."
4,6,Electronics,No,"The item was good, but the delivery arrived later than expected."
4,8,Home,Yes,Delivery was smooth and the item was exactly what I wanted.
4,6,Electronics,No,"The item was good, but the delivery arrived later than expected."
3,6,Other,Yes,"The purchase was average; delivery was okay, but the item did not wow me."
4,9,Other,Yes,Delivery was smooth and the item was exactly what I wanted.
4,9,Other,Yes,Everything worked out well and the package came when promised.
3,4,Home,No,"The order arrived late, and that made the experience more frustrating."
4,6,Clothing,No,"The item was good, but the delivery arrived later than expected."
3,8,Home,Yes,"Delivery was fine, but the product only met my expectations halfway."
5,10,Electronics,Yes,Delivery was smooth and the item was exactly what I wanted.
4,9,Electronics,Yes,Delivery was smooth and the item was exactly what I wanted.
5,9,Other,Yes,The order arrived on time and the product quality matched my expectations.
4,10,Clothing,Yes,Everything worked out well and the package came when promised.
4,8,Home,Yes,The order arrived on time and the product quality matched my expectations.
4,8,Home,No,"The item was good, but the delivery arrived later than expected."
4,8,Clothing,No,"The item was good, but the delivery arrived later than expected."
5,9,Electronics,Yes,Everything worked out well and the package came when promised.
3,6,Clothing,No,"The product was acceptable, though delivery delays hurt the overall experience."
4,10,Other,Yes,Everything worked out well and the package came when promised.
3,6,Home,No,"The product was acceptable, though delivery delays hurt the overall experience."
4,10,Other,Yes,Everything worked out well and the package came when promised.
3,7,Home,Yes,"Delivery was fine, but the product only met my expectations halfway."
4,7,Home,No,"The item was good, but the delivery arrived later than expected."
3,4,Electronics,No,"I got what I ordered, but the shipping took longer than it should have."
4,8,Home,Yes,Everything worked out well and the package came when promised.
5,10,Home,Yes,Everything worked out well and the package came when promised.
3,4,Other,No,"The product was acceptable, though delivery delays hurt the overall experience."
3,7,Home,Yes,"The purchase was average; delivery was okay, but the item did not wow me."
4,8,Home,Yes,Everything worked out well and the package came when promised.
4,9,Home,Yes,Everything worked out well and the package came when promised.
4,8,Other,Yes,Everything worked out well and the package came when promised.
4,8,Home,No,"The item was good, but the delivery arrived later than expected."
4,9,Home,Yes,Everything worked out well and the package came when promised.
4,8,Other,Yes,Delivery was smooth and the item was exactly what I wanted.
4,10,Electronics,Yes,Everything worked out well and the package came when promised.
3,6,Other,No,"I got what I ordered, but the shipping took longer than it should have."
5,10,Electronics,Yes,Delivery was smooth and the item was exactly what I wanted.
5,9,Electronics,Yes,Everything worked out well and the package came when promised.
4,6,Home,No,"Product quality held up, though shipping took too long."
4,8,Home,Yes,Everything worked out well and the package came when promised.
5,10,Home,Yes,The order arrived on time and the product quality matched my expectations.
4,10,Other,Yes,Everything worked out well and the package came when promised.
5,10,Clothing,Yes,Everything worked out well and the package came when promised.
4,10,Home,Yes,Everything worked out well and the package came when promised.
4,9,Electronics,Yes,The order arrived on time and the product quality matched my expectations.
4,9,Home,Yes,Delivery was smooth and the item was exactly what I wanted.
4,8,Home,Yes,The order arrived on time and the product quality matched my expectations.
4,8,Electronics,No,"The item was good, but the delivery arrived later than expected."
4,8,Clothing,No,"Product quality held up, though shipping took too long."
5,10,Electronics,Yes,Delivery was smooth and the item was exactly what I wanted.
3,6,Other,No,"I got what I ordered, but the shipping took longer than it should have."
4,8,Clothing,Yes,Delivery was smooth and the item was exactly what I wanted.
4,9,Other,Yes,Everything worked out well and the package came when promised.
5,9,Electronics,Yes,Delivery was smooth and the item was exactly what I wanted.
4,8,Other,Yes,Everything worked out well and the package came when promised.
5,10,Electronics,Yes,The order arrived on time and the product quality matched my expectations.
2,1,Clothing,No,The product was disappointing and the late delivery made it worse.
4,7,Electronics,No,"Product quality held up, though shipping took too long."
4,10,Home,Yes,Delivery was smooth and the item was exactly what I wanted.
4,8,Home,Yes,The order arrived on time and the product quality matched my expectations.
4,8,Other,Yes,Delivery was smooth and the item was exactly what I wanted.
4,9,Clothing,Yes,Delivery was smooth and the item was exactly what I wanted.
3,6,Other,No,"I got what I ordered, but the shipping took longer than it should have."
3,6,Home,Yes,"The purchase was average; delivery was okay, but the item did not wow me."
3,5,Home,No,"The product was acceptable, though delivery delays hurt the overall experience."
3,6,Home,No,"The product was acceptable, though delivery delays hurt the overall experience."
4,6,Home,No,"Product quality held up, though shipping took too long."
4,8,Home,Yes,The order arrived on time and the product quality matched my expectations.
4,8,Other,Yes,Delivery was smooth and the item was exactly what I wanted.
4,8,Electronics,Yes,The order arrived on time and the product quality matched my expectations.
4,10,Other,Yes,Delivery was smooth and the item was exactly what I wanted.
3,6,Clothing,No,"I got what I ordered, but the shipping took longer than it should have."
4,8,Clothing,Yes,Delivery was smooth and the item was exactly what I wanted.
3,6,Home,Yes,"It arrived as scheduled, yet the experience felt fairly ordinary."
3,5,Clothing,No,"I got what I ordered, but the shipping took longer than it should have."
4,9,Home,Yes,Everything worked out well and the package came when promised.
4,10,Other,Yes,Everything worked out well and the package came when promised.
4,8,Home,Yes,The order arrived on time and the product quality matched my expectations.
4,8,Other,Yes,Delivery was smooth and the item was exactly what I wanted.
3,7,Other,Yes,"It arrived as scheduled, yet the experience felt fairly ordinary."
4,10,Home,Yes,Delivery was smooth and the item was exactly what I wanted.
4,9,Clothing,Yes,Everything worked out well and the package came when promised.
5,10,Home,Yes,Everything worked out well and the package came when promised.
4,8,Home,No,"Product quality held up, though shipping took too long."
5,10,Home,Yes,Delivery was smooth and the item was exactly what I wanted.
5,10,Electronics,Yes,The order arrived on time and the product quality matched my expectations.
4,10,Clothing,Yes,Delivery was smooth and the item was exactly what I wanted.
4,6,Other,No,"The item was good, but the delivery arrived later than expected."
4,8,Electronics,No,"Product quality held up, though shipping took too long."
3,6,Home,No,"I got what I ordered, but the shipping took longer than it should have."
4,6,Home,No,"Product quality held up, though shipping took too long."
5,10,Electronics,Yes,Everything worked out well and the package came when promised.
